"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2bk43y1inDfHx8fFdXar3l","Rose","spotify:artist:2CQZr2RPZmrcvDnaod1ldC","D.O.","spotify:album:4dqWy2Soq1Z1rqgKfXOATk","공감 (Empathy) - The 1st Mini Album","spotify:artist:2CQZr2RPZmrcvDnaod1ldC","D.O.","2021-07-26","https://i.scdn.co/image/ab67616d0000b27305203cde35ba2fef6ca7b970","1","1","153720","https://p.scdn.co/mp3-preview/edb4b948f8596906cfc307475cdaa03c83d49623?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","KRA302100237","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:13:42Z"
"spotify:track:4qQ3e0YD83kblcnb8R0sIw","Scared","spotify:artist:3JjvsPeGMbDJqsphe2z8xU","P1Harmony","spotify:album:2QBdsbcBsTHVLlbAXBxaey","DISHARMONY : BREAK OUT","spotify:artist:3JjvsPeGMbDJqsphe2z8xU","P1Harmony","2021-04-20","https://i.scdn.co/image/ab67616d0000b27312e73202d37b99054f685daf","1","1","188306","https://p.scdn.co/mp3-preview/2e0e0d8455628608aea06726dc516782c61ee7cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA382102677","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:14:01Z"
"spotify:track:4ghTyKLeMMTZQ85LwRbej0","Second (feat. BIBI)","spotify:artist:3U7bOaJLuFkrmDQ1C1OqKl, spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9","HYO, BIBI","spotify:album:0Nck83Sjn5RfHsITpO8GuZ","Second","spotify:artist:3U7bOaJLuFkrmDQ1C1OqKl","HYO","2021-08-09","https://i.scdn.co/image/ab67616d0000b27327a007e6c009a38bf2f89277","1","1","218720","https://p.scdn.co/mp3-preview/e3f6c3eee4cd22e6931560bc04b41bcebf4203ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","KRA302100263","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:14:08Z"
"spotify:track:21aOLk12MksET8AsbU0SI6","LO$ER=LO♡ER","spotify:artist:0ghlgldX5Dd6720Q3qFyQB","TOMORROW X TOGETHER","spotify:album:2CjIfWoFITACUOlWGB7os5","The Chaos Chapter: FIGHT OR ESCAPE","spotify:artist:0ghlgldX5Dd6720Q3qFyQB","TOMORROW X TOGETHER","2021-08-17","https://i.scdn.co/image/ab67616d0000b2735137378ed49327e5dec7406f","1","1","199919","https://p.scdn.co/mp3-preview/0f4ec2eb519a49b642beb559c0cbb9c7d69c2e15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USA2P2119859","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:14:32Z"
"spotify:track:2vr4CIT7L5syUxNxFXs47f","WAVE","spotify:artist:1lHfzEkKmmvdVDDDLKkcsd","CIX","spotify:album:3pDsgSLUn5213aS3II19WR","CIX 1st Album 'OK' Prologue : Be OK","spotify:artist:1lHfzEkKmmvdVDDDLKkcsd","CIX","2021-08-17","https://i.scdn.co/image/ab67616d0000b27305e92a87a197ec6ace7aadb4","1","3","199946","https://p.scdn.co/mp3-preview/ca12a73c22448447141ff309ed11d01791d576f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","KSA012108961","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:15:21Z"
"spotify:track:4aS8OY1JsRSBKGfnAkIOZH","You can't sit with us","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","spotify:album:3UJlc2nl7tik1gD23DOBVX","1/6","spotify:artist:6MoXcK2GyGg7FIyxPU5yW6","SUNMI","2021-08-06","https://i.scdn.co/image/ab67616d0000b2736c22dfd393c41eb98307dba3","1","1","197413","https://p.scdn.co/mp3-preview/ffbbc384363ae8658056019ce4748d595f02e34f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","KRMIM2127580","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:16:15Z"
"spotify:track:35ylkTvU4CWnQVrYqsp2VQ","After Midnight","spotify:artist:4pz4uzOMpJQyV8UTsDy4H8","ASTRO","spotify:album:20UJy1ziViNvfJCzjGn5xr","SWITCH ON","spotify:artist:4pz4uzOMpJQyV8UTsDy4H8","ASTRO","2021-08-02","https://i.scdn.co/image/ab67616d0000b2731447112868577e3487f1931e","1","1","190798","https://p.scdn.co/mp3-preview/f56ce628118bd85da6ebdb74fc9ad18746495dac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA382159794","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:16:33Z"
"spotify:track:0Lv8nIY6aeJfERMDVTBKHb","Siesta","spotify:artist:5LWkv2hDbDwZL3zNwZYNPx","Weki Meki","spotify:album:5nm3lAFvYrzM5aYmPw7JyB","I AM ME.","spotify:artist:5LWkv2hDbDwZL3zNwZYNPx","Weki Meki","2021-11-18","https://i.scdn.co/image/ab67616d0000b273ee70c1aec22e90245f773329","1","1","234893","https://p.scdn.co/mp3-preview/1dcea317fc8578874deba953a3a7908262b6f85c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","KRA382163675","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:16:38Z"
"spotify:track:7aJSEhH3kzrcr4g0uGXUC7","Ra Pam Pam","spotify:artist:5zShiwTHlygdfsXj6eavTu","Golden Child","spotify:album:4PTy3b8H1Blt625KhFa9QU","Golden Child 2nd Album [Game Changer]","spotify:artist:5zShiwTHlygdfsXj6eavTu","Golden Child","2021-08-02","https://i.scdn.co/image/ab67616d0000b273cf088668ade9806e1f12ce26","1","2","211160","https://p.scdn.co/mp3-preview/626714c2c40209a284bf0600cd4019ee220170db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","KRA382159801","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:16:52Z"
"spotify:track:5CXbZ60u7fq4UjlLnOig5Q","CLOSE","spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g","AB6IX","spotify:album:3Z1J8LibfFAvFDtDpXWQzH","MO' COMPLETE: HAVE A DREAM","spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g","AB6IX","2021-04-26","https://i.scdn.co/image/ab67616d0000b273d1e3d34a0af48eafe1bfecd3","1","2","219834","https://p.scdn.co/mp3-preview/d3c2f442d70ea811f56ff2639598d99b533c4e5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","KRA252100530","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-04-16T15:17:54Z"
