"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Wll1i0Y8GGjyePcP83L3x","Feelin' Like","spotify:artist:1wKpMkucynaTfG8lyPprYV","PENTAGON","spotify:album:5vxZM8rFJiNvjtAThYnwek","IN:VITE U","spotify:artist:1wKpMkucynaTfG8lyPprYV","PENTAGON","2022-01-24","https://i.scdn.co/image/ab67616d0000b273de5a12fc93022c4f7b8030b3","1","1","167213","https://p.scdn.co/mp3-preview/c334c1e1853faa71f0eb3f7a5ea85750dcba0ca1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA392100074","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T17:54:57Z"
"spotify:track:3r8RuvgbX9s7ammBn07D3W","Ditto","spotify:artist:6HvZYsbFfjnjFrWF950C9d","NewJeans","spotify:album:7bnqo1fdJU9nSfXQd3bSMe","Ditto","spotify:artist:6HvZYsbFfjnjFrWF950C9d","NewJeans","2022-12-19","https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f","1","1","185506","https://p.scdn.co/mp3-preview/4f048713ddfa434539dec7c3cb689f3393353edd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USA2P2254487","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T17:55:25Z"
"spotify:track:6vo0dV9t7PCQZKsLFwVwZ5","Darl+ing","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","spotify:album:0Dl7e3uv3UrVDdZ6saplzH","Darl+ing","spotify:artist:7nqOGRxlXj7N2JYbgNEjYH","SEVENTEEN","2022-04-15","https://i.scdn.co/image/ab67616d0000b2732139a9fca45751cc0b0f53ba","1","1","176546","https://p.scdn.co/mp3-preview/cb7c2faa0fa7461e322c51bab18487d53b195af6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USA2P2212798","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:05:35Z"
"spotify:track:1AZjCZSGEjlxUufFQwSszF","Wild Flower (with youjeen)","spotify:artist:2auC28zjQyVTsiZKNgPRGs, spotify:artist:4wVcCedmr7FHtUlFnIeJIG","RM, Youjeen","spotify:album:2wGinO7YWLHN2sULIr4a7v","Indigo","spotify:artist:2auC28zjQyVTsiZKNgPRGs","RM","2022-12-02","https://i.scdn.co/image/ab67616d0000b273fa60e8a8d5ca09efc6098175","1","9","273499","https://p.scdn.co/mp3-preview/e853db1fa6bd4c511cf960e920fa72ae24f9802e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USA2P2243395","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:06:44Z"
"spotify:track:6jUq2EfNMW7SizzNVVGvhm","Ring The Alarm","spotify:artist:2JhAlkmukNvarUpGhTFXUQ","KARD","spotify:album:7pXpC584OFCNWOFmmufGjl","KARD 5th Mini Album 'Re:'","spotify:artist:2JhAlkmukNvarUpGhTFXUQ","KARD","2022-06-22","https://i.scdn.co/image/ab67616d0000b27394485b7db792dd0512adf258","1","2","185053","https://p.scdn.co/mp3-preview/623b13919d171d8a075dca994985e9c1bbc1cb89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","KRA382205793","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:07:03Z"
"spotify:track:52uklJhyhJbLvHrgkiqCaW","WHISPER","spotify:artist:0CmvFWTX9zmMNCUi6fHtAx","THE BOYZ","spotify:album:6D8I9oW0ALsppfPzY9ysXR","THE BOYZ 7TH MINI ALBUM [BE AWARE]","spotify:artist:0CmvFWTX9zmMNCUi6fHtAx","THE BOYZ","2022-08-16","https://i.scdn.co/image/ab67616d0000b273d4c7175c1408cd917fc6e0b8","1","1","191853","https://p.scdn.co/mp3-preview/0a566314585f73a20bec774f718f040f2f26689c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","KRA382206521","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:07:39Z"
"spotify:track:5aucVLKiumD89mxVCB4zvS","Rush Hour (Feat. j-hope of BTS)","spotify:artist:6aLdhHUqgdKE86xbtNmY8g, spotify:artist:0b1sIQumIAsNbqAoIClSpy","Crush, j-hope","spotify:album:7egcy2gtlyoUUl1OlQrY3R","Rush Hour","spotify:artist:6aLdhHUqgdKE86xbtNmY8g","Crush","2022-09-22","https://i.scdn.co/image/ab67616d0000b2737968a5fd0be134742699910e","1","1","177302","https://p.scdn.co/mp3-preview/308fa9a7d32bcd0eb5e07895a37bbbf9a44c2a32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","KSA012184974","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:07:56Z"
"spotify:track:7cHXwaBnIBFUPuP376z07E","Flip That","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","spotify:album:7odJeHxR62PWP4Cms4GpwB","Summer Special [Flip That]","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","2022-06-20","https://i.scdn.co/image/ab67616d0000b2735fe0013ebb4022adc0f042be","1","2","177373","https://p.scdn.co/mp3-preview/41ea9581f232ecf0b597cb39ce7db6feb169f5ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","KRA252201148","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:08:31Z"
"spotify:track:767gRjedAWnbUer6ARRS8d","Candy Sugar Pop","spotify:artist:4pz4uzOMpJQyV8UTsDy4H8","ASTRO","spotify:album:5yFMVUSwNR0qAtEW78nDj0","Drive to the Starry Road","spotify:artist:4pz4uzOMpJQyV8UTsDy4H8","ASTRO","2022-05-16","https://i.scdn.co/image/ab67616d0000b273c87710889c255d9964477013","1","1","169253","https://p.scdn.co/mp3-preview/a597647f7b7fdd4f4baaa8032ef6a519e1f0c15d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","KRA382205071","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:09:37Z"
"spotify:track:56s2s5e8WuBsWVKnmz6J9L","BEAUTIFUL MONSTER","spotify:artist:01XYiBYaoMJcNhPokrg0l0","STAYC","spotify:album:04EniWu488MF6louRYafKJ","WE NEED LOVE","spotify:artist:01XYiBYaoMJcNhPokrg0l0","STAYC","2022-07-19","https://i.scdn.co/image/ab67616d0000b273c76a0146e4c1804f22cab995","1","1","180000","https://p.scdn.co/mp3-preview/c185b149d3094136b006362b257f5218ff50900f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","KRA382206236","spotify:user:j9tdfnh4qld2ze26byx4ey0gs","2023-01-03T18:09:53Z"
